date,category,income,expenses,balance,transaction_type
2024-07-10,transaction cost,,-7.0,403.17,Transaction Cost
2024-07-08,supermarket expenses,,-285.0,390.17,Merchant Purchase
2024-07-08,food,,-60.0,675.17,Paybill / Utility Payment
2024-07-08,supermarket expenses,,-60.0,465.17,Merchant Purchase
2024-07-07,transaction cost,,-7.0,580.17,Transaction Cost
2024-07-07,airtime,,-20.0,718.17,Airtime / Data
2024-07-07,airtime,,-50.0,738.17,Airtime / Data
2024-07-06,other expenses,,-5.0,799.17,Transaction Cost
2024-07-06,personal expenditures,,-110.0,804.17,Paybill / Utility Payment
2024-07-06,airtime,,-10.0,154.17,Paybill / Utility Payment
2024-07-06,airtime,,-30.0,164.17,Unclassified
2024-07-05,friends,,-50.0,194.17,Peer Transfer
2024-07-05,transport,,-30.0,244.17,Peer Transfer
2024-07-05,airtime,,-50.0,274.17,Airtime / Data
2024-07-05,family,320.0,,324.17,Other
2024-07-05,friends,,-50.0,4.17,Peer Transfer
2024-07-04,transport,,-50.0,24.17,Peer Transfer
2024-07-04,transport,,-70.0,74.17,Peer Transfer
2024-07-04,family,110.0,,144.17,Other
2024-07-04,transport,,-70.0,34.17,Unclassified
2024-07-04,savings withdrawal,100.0,,104.17,Other
2024-07-03,transport,,-50.0,4.17,Unclassified
2024-07-03,savings withdrawal,50.0,,54.17,Other
2024-07-03,food,,-50.0,4.17,Unclassified
2024-07-03,transport,,-30.0,54.17,Paybill / Utility Payment
2024-07-03,food,,-120.0,84.17,Merchant Purchase
2024-07-03,personal expenditures,,-160.0,204.17,Merchant Purchase
2024-07-03,family,200.0,,364.17,Other
2024-07-03,airtime,,-10.0,164.17,Transaction Cost
2024-07-03,personal expenditures,,-750.0,174.17,Paybill / Utility Payment
2024-07-03,savings withdrawal,500.0,,924.17,Other
2024-07-03,personal expenditures,,-100.0,424.17,Paybill / Utility Payment
2024-07-03,personal expenditures,,-150.0,524.17,Merchant Purchase
2024-07-03,other expenses,,-100.0,674.17,Paybill / Utility Payment
2024-07-03,other expenses,,-50.0,774.17,Paybill / Utility Payment
2024-07-03,transaction cost,,-7.0,824.17,Transaction Cost
2024-07-03,other expenses,,-200.0,831.17,Peer Transfer
2024-07-03,other expenses,,-50.0,1031.17,Small Business Payment
2024-07-03,transport,,-50.0,946.17,Peer Transfer
2024-07-02,airtime,,-20.0,996.17,Paybill / Utility Payment
2024-07-02,other expenses,,-20.0,1016.17,Paybill / Utility Payment
2024-07-01,food,,-50.0,1036.17,Merchant Purchase
2024-07-01,airtime,,-20.0,1086.17,Paybill / Utility Payment
2024-07-01,food,,-55.0,1106.17,Peer Transfer
2024-07-01,airtime,,-10.0,1161.17,Paybill / Utility Payment
2024-07-01,family,1100.0,,1171.17,Other
2024-06-30,supermarket expenses,,-35.0,71.17,Merchant Purchase
2024-06-29,airtime,,-10.0,106.17,Paybill / Utility Payment
2024-06-29,transaction cost,,-7.0,116.17,Transaction Cost
2024-06-29,food,,-130.0,123.17,Peer Transfer
2024-06-29,transaction cost,,-7.0,253.17,Transaction Cost
2024-06-29,friends,,-200.0,260.17,Peer Transfer
2024-06-29,savings withdrawal,300.0,,460.17,Other
2024-06-29,airtime,,-10.0,160.17,Other
2024-06-29,friends,,-50.0,170.17,Peer Transfer
2024-06-29,transaction cost,,-7.0,220.17,Transaction Cost
2024-06-29,friends,,-400.0,227.17,Peer Transfer
2024-06-29,family,500.0,,627.17,Other
2024-06-29,transaction cost,,-7.0,127.17,Transaction Cost
2024-06-29,personal expenditures,,-400.0,134.17,Peer Transfer
2024-06-29,savings withdrawal,100.0,,534.17,Other
2024-06-29,transport,,-100.0,434.17,Peer Transfer
2024-06-29,airtime,,-20.0,534.17,Unclassified
2024-06-29,savings withdrawal,500.0,,554.17,Other
2024-06-29,airtime,,-10.0,54.17,Paybill / Utility Payment
2024-06-29,transaction cost,,-7.0,64.17,Transaction Cost
2024-06-29,friends,,-229.0,71.17,Peer Transfer
2024-06-29,savings withdrawal,200.0,,300.17,Other
2024-06-29,airtime,,-10.0,100.17,Airtime / Data
2024-06-28,airtime,,-10.0,110.17,Other
2024-06-28,friends,,-70.0,120.17,Peer Transfer
2024-06-28,transaction cost,,-7.0,190.17,Transaction Cost
2024-06-28,friends,,-480.0,197.17,Peer Transfer
2024-06-28,airtime,,-25.0,677.17,Paybill / Utility Payment
2024-06-28,transport,,-30.0,702.17,Peer Transfer
2024-06-28,airtime,,-20.0,732.17,Unclassified
2024-06-28,transport,,-50.0,752.17,Peer Transfer
2024-06-28,airtime,,-10.0,802.17,Paybill / Utility Payment
2024-06-28,airtime,,-10.0,812.17,Paybill / Utility Payment
2024-06-28,transaction cost,,-7.0,822.17,Transaction Cost
2024-06-28,sent to friends,,-200.0,829.17,Peer Transfer
2024-06-28,supermarket expenses,,-10.0,1029.17,Merchant Purchase
2024-06-27,transport,,-50.0,1039.17,Peer Transfer
2024-06-27,family,100.0,,1089.17,Other
2024-06-27,airtime,,-25.0,989.17,Unclassified
2024-06-27,electricity,,-25.0,1014.17,Paybill / Utility Payment
2024-06-27,other expenses,,-20.0,1039.17,Paybill / Utility Payment
2024-06-27,supermarket expenses,,-523.0,1059.17,Merchant Purchase
2024-06-27,family,600.0,,1582.17,Other
2024-06-27,transport,,-50.0,982.17,Peer Transfer
2024-06-26,supermarket expenses,,-100.0,1032.17,Merchant Purchase
2024-06-26,airtime,,-10.0,1132.17,Paybill / Utility Payment
2024-06-26,airtime,,-10.0,1142.17,Paybill / Utility Payment
2024-06-26,transport,,-50.0,1152.17,Peer Transfer
2024-06-26,supermarket expenses,,-295.0,1202.17,Merchant Purchase
2024-06-26,family,310.0,,1497.17,Other
2024-06-26,transaction cost,,-29.0,1187.17,Other
2024-06-26,other expenses,,-2000.0,1216.17,Agent Cash Withdrawal
2024-06-26,other expenses,,-300.0,3216.17,Merchant Purchase
2024-06-26,airtime,,-20.0,3516.17,Airtime / Data
2024-06-26,transport,,-50.0,3536.17,Peer Transfer
2024-06-26,family,150.0,,3586.17,Other
2024-06-26,airtime,,-20.0,3436.17,Unclassified
2024-06-25,airtime,,-10.0,3456.17,Airtime / Data
2024-06-25,airtime,,-20.0,3466.17,Airtime / Data
2024-06-25,airtime,,-30.0,3486.17,Paybill / Utility Payment
2024-06-25,transport,,-50.0,3516.17,Peer Transfer
2024-06-25,other expenses,,-50.0,3566.17,Small Business Payment
2024-06-25,family,1500.0,,3616.17,Other
2024-06-25,food,,-80.0,2116.17,Peer Transfer
2024-06-25,airtime,,-20.0,2196.17,Paybill / Utility Payment
2024-06-25,other expenses,,-30.0,2216.17,Peer Transfer
2024-06-25,food,,-30.0,2246.17,Small Business Payment
2024-06-25,savings deposit,,-1500.0,2276.17,Other
2024-06-25,transport,,-50.0,3776.17,Peer Transfer
2024-06-25,family,350.0,,3826.17,Other
2024-06-25,family,1000.0,,3476.17,Other
2024-06-24,family,100.0,,2476.17,Other
2024-06-24,family,2400.0,,2406.17,Other
2024-06-23,airtime,,-10.0,6.17,Airtime / Data
2024-06-23,food,,-30.0,16.17,Paybill / Utility Payment
2024-06-23,transaction cost,,-3.0,46.17,Transaction Cost
2024-06-23,airtime,,-100.0,49.17,Paybill / Utility Payment
2024-06-22,transaction cost,,-3.0,149.17,Transaction Cost
2024-06-22,airtime,,-100.0,152.17,Paybill / Utility Payment
2024-06-22,airtime,,-20.0,252.17,Unclassified
2024-06-21,airtime,,-20.0,292.17,Unclassified
2024-06-21,airtime,,-5.0,312.17,Airtime / Data
2024-06-21,transport,,-40.0,317.17,Peer Transfer
2024-06-21,airtime,,-10.0,357.17,Unclassified
2024-06-21,airtime,,-10.0,367.17,Airtime / Data
2024-06-21,transport,,-40.0,377.17,Peer Transfer
2024-06-21,airtime,,-10.0,417.17,Airtime / Data
2024-06-21,transaction cost,,-7.0,427.17,Transaction Cost
2024-06-21,food,,-200.0,434.17,Peer Transfer
2024-06-21,family,220.0,,634.17,Other
2024-06-21,airtime,,-5.0,414.17,Airtime / Data
2024-06-20,supermarket expenses,,-160.0,419.17,Merchant Purchase
2024-06-20,transaction cost,,-7.0,579.17,Transaction Cost
2024-06-20,other expenses,,-220.0,586.17,Peer Transfer
2024-06-20,transaction cost,,-7.0,806.17,Transaction Cost
2024-06-20,food,,-210.0,813.17,Peer Transfer
2024-06-20,airtime,,-30.0,23.17,Unclassified
2024-06-20,airtime,,-10.0,53.17,Airtime / Data
2024-06-20,transport,,-50.0,63.17,Peer Transfer
2024-06-20,airtime,,-5.0,113.17,Airtime / Data
2024-06-19,transport,,-30.0,143.17,Peer Transfer
2024-06-19,transport,,-30.0,173.17,Peer Transfer
2024-06-19,transport,,-50.0,203.17,Peer Transfer
2024-06-19,supermarket expenses,,-55.0,253.17,Merchant Purchase
2024-06-19,family,300.0,,308.17,Other
2024-06-18,supermarket expenses,,-25.0,8.17,Merchant Purchase
2024-06-18,food,,-30.0,33.17,Small Business Payment
2024-06-18,airtime,,-5.0,63.17,Unclassified
2024-06-18,transaction cost,,-7.0,68.17,Transaction Cost
2024-06-18,transport,,-200.0,75.17,Peer Transfer
2024-06-18,family,200.0,,275.17,Other
2024-06-18,supermarket expenses,,-75.0,75.17,Merchant Purchase
2024-06-18,transport,,-50.0,150.17,Peer Transfer
2024-06-18,airtime,,-20.0,200.17,Unclassified
2024-06-18,airtime,,-10.0,220.17,Airtime / Data
2024-06-18,transport,,-50.0,230.17,Merchant Purchase
2024-06-18,food,,-20.0,280.17,Merchant Purchase
2024-06-18,family,300.0,,300.17,Other
2024-06-18,transport,,-50.0,0.17,Small Business Payment
2024-06-18,savings withdrawal,20.0,,50.17,Other
2024-06-18,airtime,,-20.0,30.17,Unclassified
2024-06-18,transport,,-50.0,50.17,Peer Transfer
2024-06-18,savings withdrawal,100.0,,100.17,Other
2024-06-18,supermarket expenses,,-60.0,0.17,Merchant Purchase
2024-06-18,savings withdrawal,60.0,,60.17,Other
2024-06-17,electricity,,-25.0,0.17,Paybill / Utility Payment
2024-06-17,savings withdrawal,25.0,,25.17,Other
2024-06-17,transport,,-40.0,0.17,Peer Transfer
2024-06-17,food,,-50.0,40.17,Merchant Purchase
2024-06-17,transport,,-50.0,90.17,Peer Transfer
2024-06-17,airtime,,-10.0,140.17,Airtime / Data
2024-06-17,savings withdrawal,100.0,,150.17,Other
2024-06-16,airtime,,-20.0,50.17,Paybill / Utility Payment
2024-06-16,church,,-30.0,70.17,Paybill / Utility Payment
2024-06-16,airtime,,-10.0,100.17,Unclassified
2024-06-15,food,,-50.0,120.17,Paybill / Utility Payment
2024-06-15,supermarket expenses,,-626.0,170.17,Merchant Purchase
2024-06-15,family,630.0,,796.17,Other
2024-06-15,transport,,-30.0,166.17,Peer Transfer
2024-06-15,other expenses,,-30.0,196.17,Peer Transfer
2024-06-15,airtime,,-30.0,226.17,Airtime / Data
2024-06-15,transport,,-70.0,256.17,Peer Transfer
2024-06-15,family,210.0,,326.17,Other
2024-06-14,food,,-650.0,116.17,Merchant Purchase
2024-06-14,transport,,-40.0,766.17,Unclassified
2024-06-14,transaction cost,,-7.0,806.17,Transaction Cost
2024-06-14,personal expenditures,,-140.0,813.17,Small Business Payment
2024-06-14,food,800.0,,953.17,Other
2024-06-14,friends,30.0,,153.17,Other
2024-06-14,transaction cost,,-7.0,123.17,Transaction Cost
2024-06-14,friends,,-130.0,130.17,Peer Transfer
2024-06-14,friends,30.0,,260.17,Other
2024-06-14,savings withdrawal,100.0,,230.17,Other
2024-06-14,food,,-80.0,130.17,Small Business Payment
2024-06-14,savings withdrawal,200.0,,210.17,Other
2024-06-14,transaction cost,,-7.0,10.17,Transaction Cost
2024-06-14,sent to family,,-400.0,17.17,Peer Transfer
2024-06-14,transaction cost,,-7.0,417.17,Transaction Cost
2024-06-14,food,,-120.0,424.17,Small Business Payment
2024-06-14,airtime,,-10.0,544.17,Paybill / Utility Payment
2024-06-14,supermarket expenses,,-15.0,554.17,Merchant Purchase
2024-06-14,food,,-60.0,569.17,Peer Transfer
2024-06-14,food,,-20.0,629.17,Peer Transfer
2024-06-14,health,,-50.0,649.17,Small Business Payment
2024-06-14,cash deposit,600.0,,699.17,Other
2024-06-14,airtime,,-10.0,99.17,Paybill / Utility Payment
2024-06-14,savings withdrawal,100.0,,109.17,Other
2024-06-13,airtime,,-10.0,9.17,Paybill / Utility Payment
2024-06-13,electricity,,-25.0,19.17,Paybill / Utility Payment
2024-06-13,savings withdrawal,25.0,,44.17,Other
2024-06-13,supermarket expenses,,-70.0,19.17,Merchant Purchase
2024-06-13,savings withdrawal,70.0,,89.17,Other
2024-06-12,supermarket expenses,,-80.0,19.17,Merchant Purchase
2024-06-12,transaction cost,,-7.0,99.17,Transaction Cost
2024-06-12,sent to friends,,-200.0,106.17,Peer Transfer
2024-06-12,friends,150.0,,306.17,Other
2024-06-12,transaction cost,,-7.0,156.17,Transaction Cost
2024-06-12,friends,,-160.0,163.17,Peer Transfer
2024-06-12,transport,,-50.0,323.17,Peer Transfer
2024-06-12,airtime,,-20.0,373.17,Unclassified
2024-06-12,transport,,-50.0,393.17,Peer Transfer
2024-06-12,family,350.0,,443.17,Other
2024-06-11,transaction cost,,-7.0,93.17,Transaction Cost
2024-06-11,airtime,,-10.0,250.17,Unclassified
2024-06-11,airtime,,-10.0,260.17,Paybill / Utility Payment
2024-06-11,airtime,,-10.0,295.17,Airtime / Data
2024-06-11,airtime,,-20.0,305.17,Unclassified
2024-06-11,family,320.0,,325.17,Other
2024-06-11,food,,-50.0,5.17,Merchant Purchase
2024-06-11,airtime,,-20.0,55.17,Unclassified
2024-06-10,airtime,,-20.0,75.17,Unclassified
2024-06-10,savings deposit,,-150.0,95.17,Other
2024-06-10,supermarket expenses,,-70.0,245.17,Merchant Purchase
2024-06-10,family,300.0,,315.17,Other
2024-06-10,airtime,,-25.0,15.17,Paybill / Utility Payment
2024-06-08,food,,-100.0,40.17,Peer Transfer
2024-06-08,savings withdrawal,100.0,,140.17,Unclassified
2024-06-08,airtime,,-30.0,40.17,Unclassified
2024-06-08,transport,,-70.0,70.17,Peer Transfer
2024-06-08,savings withdrawal,100.0,,140.17,Unclassified
2024-06-08,transport,,-40.0,40.17,Paybill / Utility Payment
2024-06-07,airtime,,-15.0,30.17,Paybill / Utility Payment
2024-06-07,food,,-50.0,45.17,Peer Transfer
2024-06-07,transaction cost,,-11.0,165.17,Other
2024-06-07,food,,-60.0,176.17,Agent Cash Withdrawal
2024-06-07,friends,,-100.0,236.17,Peer Transfer
2024-06-07,savings withdrawal,300.0,,336.17,Other
2024-06-07,transaction cost,,-7.0,36.17,Transaction Cost
2024-06-07,other expenses,,-150.0,43.17,Peer Transfer
2024-06-07,airtime,,-5.0,193.17,Airtime / Data
2024-06-07,airtime,,-20.0,198.17,Airtime / Data
2024-06-07,food,,-50.0,218.17,Small Business Payment
2024-06-07,food,,-50.0,268.17,Small Business Payment
2024-06-07,airtime,,-20.0,118.17,Airtime / Data
2024-06-06,savings deposit,,-1000.0,138.17,Other
2024-06-05,food,,-40.0,1138.17,Paybill / Utility Payment
2024-06-05,airtime,,-5.0,1183.17,Airtime / Data
2024-06-05,electricity,,-25.0,1188.17,Paybill / Utility Payment
2024-06-05,supermarket expenses,,-75.0,1213.17,Merchant Purchase
2024-06-05,food,,-30.0,1288.17,Paybill / Utility Payment
2024-06-05,transport,,-30.0,1318.17,Small Business Payment
2024-06-05,airtime,,-10.0,1348.17,Paybill / Utility Payment
2024-06-05,airtime,,-20.0,1358.17,Airtime / Data
2024-06-05,family,250.0,,1378.17,Other
2024-06-04,airtime,,-10.0,1288.17,Paybill / Utility Payment
2024-06-04,cash deposit,1000.0,,1298.17,Other
2024-06-03,transport,,-50.0,298.17,Peer Transfer
2024-06-03,airtime,,-20.0,348.17,Unclassified
2024-06-03,transport,,-50.0,368.17,Peer Transfer
2024-06-03,airtime,,-20.0,418.17,Paybill / Utility Payment
2024-06-02,supermarket expenses,,-70.0,438.17,Merchant Purchase
2024-06-02,church,,-50.0,508.17,Paybill / Utility Payment
2024-06-02,airtime,,-10.0,558.17,Unclassified
2024-06-01,supermarket expenses,,-60.0,568.17,Merchant Purchase
2024-06-01,electricity,,-50.0,628.17,Paybill / Utility Payment
2024-05-31,philanthropy,,-30.0,678.17,Merchant Purchase
2024-05-31,transport,,-50.0,708.17,Peer Transfer
2024-05-31,airtime,,-5.0,758.17,Airtime / Data
2024-05-31,airtime,,-20.0,763.17,Unclassified
2024-05-31,sent to friends,,-50.0,783.17,Peer Transfer
2024-05-31,airtime,,-10.0,833.17,Paybill / Utility Payment
2024-05-31,transaction cost,,-7.0,843.17,Transaction Cost
2024-05-31,personal expenditures,,-310.0,850.17,Peer Transfer
2024-05-31,airtime,,-20.0,1160.17,Unclassified
2024-05-31,friends,1000.0,,1180.17,Other
2024-05-30,airtime,,-5.0,180.17,Airtime / Data
2024-05-30,supermarket expenses,,-135.0,185.17,Merchant Purchase
2024-05-30,electricity,,-25.0,320.17,Paybill / Utility Payment
2024-05-30,food,,-40.0,345.17,Small Business Payment
2024-05-30,airtime,,-10.0,385.17,Unclassified
2024-05-30,transaction cost,,-7.0,395.17,Transaction Cost
2024-05-30,food,,-260.0,402.17,Peer Transfer
2024-05-30,friends,140.0,,662.17,Other
2024-05-30,friends,50.0,,522.17,Other
2024-05-30,food,,-60.0,472.17,Peer Transfer
2024-05-30,transport,,-30.0,532.17,Small Business Payment
2024-05-30,family,350.0,,562.17,Other
2024-05-30,food,,-30.0,212.17,Small Business Payment
2024-05-30,transport,,-50.0,242.17,Peer Transfer
2024-05-30,airtime,,-20.0,292.17,Unclassified
2024-05-29,airtime,,-10.0,312.17,Unclassified
2024-05-28,spotify,,-154.22,322.17,Other
2024-05-28,airtime,,-10.0,476.39,Paybill / Utility Payment
2024-05-28,food,,-20.0,486.39,Paybill / Utility Payment
2024-05-28,transaction cost,,-7.0,506.39,Transaction Cost
2024-05-28,food,,-140.0,513.39,Peer Transfer
2024-05-28,airtime,,-10.0,653.39,Unclassified
2024-05-28,family,500.0,,663.39,Other
2024-05-28,airtime,,-10.0,163.39,Unclassified
2024-05-28,airtime,,-20.0,173.39,Unclassified
2024-05-28,supermarket expenses,,-32.0,193.39,Merchant Purchase
2024-05-28,sent to friends,,-100.0,225.39,Peer Transfer
2024-05-27,transport,,-50.0,325.39,Peer Transfer
2024-05-27,airtime,,-5.0,375.39,Airtime / Data
2024-05-27,food,,-30.0,380.39,Small Business Payment
2024-05-27,airtime,,-20.0,450.39,Paybill / Utility Payment
2024-05-27,food,,-20.0,470.39,Peer Transfer
2024-05-27,food,,-15.0,490.39,Peer Transfer
2024-05-27,food,,-80.0,505.39,Peer Transfer
2024-05-27,food,,-50.0,585.39,Peer Transfer
2024-05-27,savings deposit,,-300.0,635.39,Other
2024-05-27,airtime,,-20.0,935.39,Unclassified
2024-05-27,family,350.0,,955.39,Other
2024-05-27,family,500.0,,605.39,Other
2024-05-26,supermarket expenses,,-55.0,105.39,Merchant Purchase
2024-05-26,savings withdrawal,70.0,,80.39,Other
2024-05-26,savings withdrawal,80.0,,160.39,Other
2024-05-24,family,,-25.0,81.39,Other
2024-05-23,airtime,,-10.0,31.39,Paybill / Utility Payment
2024-05-23,airtime,,-10.0,41.39,Paybill / Utility Payment
2024-05-22,electricity,,-25.0,51.39,Paybill / Utility Payment
2024-05-21,airtime,,-10.0,76.39,Paybill / Utility Payment
2024-05-21,supermarket expenses,,-185.0,86.39,Merchant Purchase
2024-05-21,savings withdrawal,250.0,,271.39,Other
2024-05-21,airtime,,-20.0,21.39,Paybill / Utility Payment
2024-05-21,food,,-70.0,41.39,Small Business Payment
2024-05-21,other expenses,,-60.0,111.39,Peer Transfer
2024-05-21,transport,,-50.0,171.39,Peer Transfer
2024-05-21,spotify,,-49.0,221.39,Paybill / Utility Payment
2024-05-20,airtime,,-15.0,270.39,Paybill / Utility Payment
2024-05-20,friends,,-100.0,285.39,Peer Transfer
2024-05-20,health,,-90.0,385.39,Merchant Purchase
2024-05-20,transport,,-50.0,475.39,Peer Transfer
2024-05-20,friends,500.0,,525.39,Other
2024-05-20,transport,,-50.0,25.39,Peer Transfer
2024-05-20,savings withdrawal,50.0,,75.39,Other
2024-05-20,airtime,,-5.0,25.39,Airtime / Data
2024-05-19,sent to family,,-100.0,30.39,Peer Transfer
2024-05-19,savings withdrawal,100.0,,130.39,Other
2024-05-19,supermarket expenses,,-75.0,30.39,Merchant Purchase
2024-05-19,airtime,,-5.0,105.39,Airtime / Data
2024-05-19,family,100.0,,110.39,Other
2024-05-19,transport,,-50.0,10.39,Peer Transfer
2024-05-18,food,,-410.0,60.39,Merchant Purchase
2024-05-18,food,,-60.0,470.39,Small Business Payment
2024-05-18,airtime,,-5.0,530.39,Airtime / Data
2024-05-18,health,,-100.0,535.39,Peer Transfer
2024-05-18,transport,,-50.0,635.39,Peer Transfer
2024-05-18,airtime,,-5.0,685.39,Airtime / Data
2024-05-18,food,,-100.0,690.39,Peer Transfer
2024-05-18,transport,,-50.0,790.39,Peer Transfer
2024-05-18,savings deposit,,-1000.0,840.39,Other
2024-05-18,transaction cost,,-7.0,1840.39,Transaction Cost
2024-05-18,transport,,-300.0,1847.39,Peer Transfer
2024-05-18,transport,,-50.0,2147.39,Peer Transfer
2024-05-18,cash deposit,2000.0,,2197.39,Other
2024-05-17,airtime,,-10.0,207.39,Paybill / Utility Payment
2024-05-17,transaction cost,,-7.0,217.39,Transaction Cost
2024-05-17,transport,,-340.0,224.39,Peer Transfer
2024-05-17,transport,350.0,,564.39,Other
2024-05-17,philanthropy,,-30.0,214.39,Merchant Purchase
2024-05-17,airtime,,-10.0,244.39,Paybill / Utility Payment
2024-05-17,food,,-75.0,254.39,Unclassified
2024-05-17,transport,,-50.0,329.39,Peer Transfer
2024-05-17,family,330.0,,379.39,Other
2024-05-14,airtime,,-20.0,49.39,Unclassified
2024-05-14,airtime,,-5.0,69.39,Unclassified
2024-05-12,airtime,,-5.0,74.39,Airtime / Data
2024-05-12,airtime,,-10.0,79.39,Paybill / Utility Payment
2024-05-12,airtime,,-10.0,89.39,Unclassified
2024-05-12,airtime,,-5.0,99.39,Airtime / Data
2024-05-12,airtime,,-10.0,104.39,Airtime / Data
2024-05-11,transaction cost,,-29.0,114.39,Other
2024-05-11,family,,-950.0,143.39,Agent Cash Withdrawal
2024-05-11,family,1000.0,,1093.39,Other
2024-05-10,transaction cost,,-7.0,93.39,Transaction Cost
2024-05-10,food,,-160.0,100.39,Small Business Payment
2024-05-10,family,100.0,,260.39,Other
2024-05-10,savings withdrawal,50.0,,160.39,Other
2024-05-10,airtime,,-5.0,110.39,Airtime / Data
2024-05-10,other expenses,,-40.0,115.39,Peer Transfer
2024-05-10,airtime,,-25.0,155.39,Airtime / Data
2024-05-10,other expenses,,-30.0,180.39,Small Business Payment
2024-05-10,friends,150.0,,210.39,Other
2024-05-10,transport,,-50.0,60.39,Peer Transfer
2024-05-10,friends,100.0,,110.39,Other
2024-05-09,airtime,,-8.0,10.39,Airtime / Data
2024-05-09,transport,,-50.0,18.39,Peer Transfer
2024-05-09,savings withdrawal,50.0,,68.39,Other
2024-05-07,airtime,,-10.0,18.39,Paybill / Utility Payment
2024-05-07,airtime,,-10.0,28.39,Unclassified
2024-05-07,airtime,,-10.0,38.39,Paybill / Utility Payment
2024-05-03,supermarket expenses,,-65.0,48.39,Merchant Purchase
2024-05-03,transport,,-50.0,113.39,Peer Transfer
2024-05-03,airtime,,-5.0,163.39,Airtime / Data
2024-05-03,airtime,,-10.0,168.39,Unclassified
2024-05-03,transport,,-50.0,178.39,Peer Transfer
2024-05-03,airtime,,-5.0,228.39,Airtime / Data
2024-05-03,supermarket expenses,,-70.0,233.39,Merchant Purchase
2024-05-03,health,,-3080.0,303.39,Merchant Purchase
2024-05-03,family,3290.0,,3383.39,Other
2024-05-03,airtime,,-50.0,93.39,Unclassified
2024-05-03,transaction cost,,-7.0,143.39,Transaction Cost
2024-05-03,transport,,-210.0,150.39,Peer Transfer
2024-05-03,family,250.0,,360.39,Other
2024-05-02,airtime,,-10.0,110.39,Paybill / Utility Payment
2024-05-02,airtime,,-20.0,120.39,Unclassified
2024-05-02,transaction cost,,-34.0,140.39,Transaction Cost
2024-05-02,health,,-4000.0,174.39,Paybill / Utility Payment
2024-05-02,family,4169.0,,4174.39,Other
2024-05-02,airtime,,-5.0,5.39,Airtime / Data
2024-05-02,savings withdrawal,10.0,,10.39,Other
2024-05-02,airtime,,-15.0,0.39,Airtime / Data
2024-05-02,airtime,,-10.0,15.39,Airtime / Data
2024-05-01,electricity,,-25.0,25.39,Paybill / Utility Payment
2024-05-01,savings withdrawal,50.0,,50.39,Other
2024-04-30,supermarket expenses,,-30.0,0.39,Merchant Purchase
2024-04-29,supermarket expenses,,-20.0,30.39,Merchant Purchase
2024-04-28,transport,,-70.0,50.39,Unclassified
2024-04-27,transaction cost,,-7.0,120.39,Transaction Cost
2024-04-27,transport,,-230.0,127.39,Peer Transfer
2024-04-27,family,300.0,,357.39,Other
2024-04-27,supermarket expenses,,-210.0,57.39,Merchant Purchase
2024-04-27,airtime,,-20.0,167.39,Unclassified
2024-04-27,airtime,,-20.0,187.39,Airtime / Data
2024-04-27,transport,,-50.0,207.39,Small Business Payment
2024-04-27,transport,,-50.0,257.39,Peer Transfer
2024-04-27,savings withdrawal,300.0,,307.39,Other
2024-04-26,philanthropy,,-30.0,7.39,Merchant Purchase
2024-04-25,airtime,,-20.0,37.39,Unclassified
2024-04-25,transport,,-50.0,57.39,Peer Transfer
2024-04-25,supermarket expenses,,-198.0,107.39,Merchant Purchase
2024-04-25,family,260.0,,305.39,Other
2024-04-25,transport,,-50.0,45.39,Peer Transfer
2024-04-25,supermarket expenses,,-100.0,95.39,Merchant Purchase
2024-04-25,health,,-90.0,195.39,Merchant Purchase
2024-04-25,savings withdrawal,250.0,,285.39,Other
2024-04-23,airtime,,-20.0,35.39,Unclassified
2024-04-23,savings withdrawal,50.0,,55.39,Other
2024-04-22,friends,1.0,,5.39,Other
2024-04-22,airtime,,-20.0,4.39,Unclassified
2024-04-22,airtime,,-20.0,24.39,Unclassified
2024-04-22,savings withdrawal,40.0,,44.39,Other
2024-04-22,airtime,,-5.0,4.39,Airtime / Data
2024-04-22,transaction cost,,-13.0,9.39,Transaction Cost
2024-04-22,transport,,-610.0,22.39,Peer Transfer
2024-04-22,family,250.0,,632.39,Other
2024-04-22,savings deposit,,-800.0,382.39,Other
2024-04-22,transaction cost,,-7.0,1182.39,Transaction Cost
2024-04-22,food,,-120.0,1189.39,Small Business Payment
2024-04-22,airtime,,-20.0,1309.39,Unclassified
2024-04-22,airtime,,-15.0,1329.39,Paybill / Utility Payment
2024-04-22,transport,300.0,,1344.39,Other
2024-04-22,other expenses,,-50.0,1044.39,Peer Transfer
2024-04-22,family,300.0,,1094.39,Other
2024-04-22,airtime,,-20.0,794.39,Unclassified
2024-04-22,electricity,,-25.0,814.39,Paybill / Utility Payment
2024-04-22,airtime,,-5.0,839.39,Airtime / Data
2024-04-21,supermarket expenses,,-185.0,844.39,Merchant Purchase
2024-04-21,airtime,,-20.0,1029.39,Unclassified
2024-04-21,airtime,,-5.0,1049.39,Airtime / Data
2024-04-20,supermarket expenses,,-75.0,1054.39,Merchant Purchase
2024-04-20,transaction cost,,-7.0,1129.39,Transaction Cost
2024-04-20,sent to family,,-111.0,1136.39,Peer Transfer
2024-04-20,airtime,,-10.0,1247.39,Airtime / Data
2024-04-20,airtime,,-10.0,1257.39,Airtime / Data
2024-04-20,transaction cost,,-5.0,1267.39,Transaction Cost
2024-04-20,health,,-180.0,1272.39,Paybill / Utility Payment
2024-04-20,friends,200.0,,1452.39,Other
2024-04-20,airtime,,-10.0,1252.39,Airtime / Data
